"NFICode";"NFIName";"originalName";"originalNameAuthorship";"acceptedName";"acceptedNameAuthorship";"taxonomicStatus";"taxonRank"
4155;"Genista triflora";"Genista triflora";;"Chamaecytisus triflorus";"(Lam.) Skalická";"Accepted";"species"
7155;"Genista umbellata";"Genista umbellata";"(L´Hér.) Dum. Cours.";"Genista umbellata";"(L'Hér.) Poir.";"Accepted";"species"
14155;"Genista versicolor";"Genista versicolor";"Boiss.";"Genista versicolor";"Boiss.";"Accepted";"species"
9104;"Genistella spp.";"Genistella";;"Genista";"L.";"Accepted";"genus"
392;"Gleditsia triacanthos";"Gleditsia triacanthos";"L.";"Gleditsia triacanthos";"L.";"Accepted";"species"
140;"Globularia alypum";"Globularia alypum";"L.";"Globularia alypum";"L.";"Accepted";"species"
4117;"Halimium atriplicifolium";"Halimium atriplicifolium";"(Lam.) Spach";"Cistus atriplicifolius";"Lam.";"Accepted";"species"
2117;"Halimium commutatum";"Halimium commutatum";;"Cistus commutatus";"(Pau) Byng & Christenh.";"Accepted";"species"
1117;"Halimium halimifolium";"Halimium halimifolium";"(L.) Willk. in Willk. & Lange";"Cistus halimifolius";"L.";"Accepted";"species"
3117;"Halimium lasianthum";"Halimium lasianthum";"(Lam.) Spach";"Cistus lasianthus";"Lam.";"Accepted";"species"
5117;"Halimium ocymoides";"Halimium ocymoides";"(Lam.) Willk. in Willk. & Lange";"Cistus ocymoides";"Lam.";"Accepted";"species"
117;"Halimium spp.";"Halimium";;"Cistus";"L.";"Accepted";"genus"
6117;"Halimium umbellatum";"Halimium umbellatum";"(L.) Spach";"Cistus umbellatus";"L.";"Accepted";"species"
1;"Heberdenia bahamensis";"Heberdenia bahamensis";;"Heberdenia excelsa";"(Aiton) DC.";"Accepted";"species"
141;"Hedera helix";"Hedera helix";"L.";"Hedera helix";"L.";"Accepted";"species"
142;"Helianthemum spp.";"Helianthemum";;"Helianthemum";"Mill.";"Accepted";"genus"
1128;"Helichrysum italicum";"Helichrysum italicum";"(Roth) G.Don";"Helichrysum italicum";"(Roth) G.Don";"Accepted";"species"
2128;"Helichrysum spp.";"Helichrysum";;"Helichrysum";"Mill.";"Accepted";"genus"
128;"Helichrysum stoechas";"Helichrysum stoechas";"(L.) Moench";"Helichrysum stoechas";"(L.) Moench";"Accepted";"species"
9000;"Herbazal en mosaico";;;;;;
163;"Hypericum canariensis";"Hypericum canariensis";;"Hypericum canariense";"L.";"Accepted";"species"
65;"Ilex aquifolium";"Ilex aquifolium";"L.";"Ilex aquifolium";"L.";"Accepted";"species"
82;"Ilex canariensis";"Ilex canariensis";"Poir.";"Ilex canariensis";"Poir.";"Accepted";"species"
282;"Ilex platyphylla";"Ilex platyphylla";;"Ilex perado  subsp. platyphylla";"(Webb & Berthel.) Tutin";"Accepted";"subspecies"
143;"Jasminum fruticans";"Jasminum fruticans";"L.";"Chrysojasminum fruticans";"(L.) Banfi";"Accepted";"species"
275;"Juglans nigra";"Juglans nigra";"L.";"Juglans nigra";"L.";"Accepted";"species"
75;"Juglans regia";"Juglans regia";"L.";"Juglans regia";"L.";"Accepted";"species"
975;"Juglans spp.";"Juglans";;"Juglans";"L.";"Accepted";"genus"
337;"Juniperus cedrus";"Juniperus cedrus";"Webb & Berthel.";"Juniperus cedrus";"Webb & Berthel.";"Accepted";"species"
37;"Juniperus communis";"Juniperus communis";"L.";"Juniperus communis";"L.";"Accepted";"species"
3700;"Juniperus communis ssp. alpina";"Juniperus communis alpina";"(Suter) Celak.";"Juniperus communis";"L.";"Accepted";"species"
237;"Juniperus oxycedrus";"Juniperus oxycedrus";"L.";"Juniperus oxycedrus";"L.";"Accepted";"species"
39;"Juniperus phoenicea";"Juniperus phoenicea";"L.";"Juniperus phoenicea";"L.";"Accepted";"species"
239;"Juniperus sabina";"Juniperus sabina";"L.";"Juniperus sabina";"L.";"Accepted";"species"
1139;"Juniperus sabina";"Juniperus sabina";"L.";"Juniperus sabina";"L.";"Accepted";"species"
937;"Juniperus spp.";"Juniperus";;"Juniperus";"L.";"Accepted";"genus"
38;"Juniperus thurifera";"Juniperus thurifera";"L.";"Juniperus thurifera";"L.";"Accepted";"species"
238;"Juniperus turbinata";"Juniperus turbinata";;"Juniperus turbinata";"Guss.";"Accepted";"species"
164;"Kleinia neriifolia";"Kleinia neriifolia";"Haw.";"Kleinia neriifolia";"Haw.";"Accepted";"species"
235;"Larix decidua";"Larix decidua";"Mill.";"Larix decidua";"Mill.";"Accepted";"species"
335;"Larix leptolepis";"Larix leptolepis";;"Larix kaempferi";"(Lamb.) Carrière";"Accepted";"species"
35;"Larix spp.";"Larix";;"Larix";"Mill.";"Accepted";"genus"
435;"Larix x eurolepis";"Larix x eurolepis";;"Larix eurolepis";"A.Henry";"Unchecked";"species"
