"NFICode";"NFIName";"originalName";"originalNameAuthorship";"acceptedName";"acceptedNameAuthorship";"taxonomicStatus";"taxonRank"
6826;"Cyanea rivularis";"Cyanea rivularis";"Rock";"Cyanea rivularis";"Rock";"Accepted";"species"
6827;"Cyanea solenocalyx";"Cyanea solenocalyx";"Hillebr.";"Cyanea solenocalyx";"Hillebr.";"Accepted";"species"
6828;"Cyanea spp.";"Cyanea";"Gaudich.";"Cyanea";"Gaudich.";"Accepted";"genus"
6829;"Cyanea stictophylla";"Cyanea stictophylla";"Rock";"Cyanea stictophylla";"Rock";"Accepted";"species"
6830;"Cyanea superba";"Cyanea superba";"(Cham.) A. Gray";"Cyanea superba";"A.Gray";"Accepted";"species"
6833;"Cyanea tritomantha";"Cyanea tritomantha";"A. Gray";"Cyanea tritomantha";"A.Gray";"Accepted";"species"
6834;"Cyathea andina";"Cyathea andina";"(Karst.) Domin";"Cyathea andina";"Domin";"Accepted";"species"
6835;"Cyathea arborea";"Cyathea arborea";"(L.) Sm.";"Cyathea arborea";"(L.) Sm.";"Accepted";"species"
6837;"Cyathea cooperi";"Cyathea cooperi";"(Hook. ex F. Muell.) Domin";"Sphaeropteris cooperi";"(Hook. ex F.Muell.) R.M.Tryon";"Accepted";"species"
6838;"Cyathea decurrens";"Cyathea decurrens";;"Alsophila decurrens";"Hook.";"Accepted";"species"
6839;"Cyathea furfuracea";"Cyathea furfuracea";"Baker";"Cyathea tenera";"(J.Sm.) Moore";"Accepted";"species"
6840;"Cyathea lunulata";"Cyathea lunulata";"(G. Forst.) Copel.";"Sphaeropteris lunulata";"(Forst.) R.M.Tryon";"Accepted";"species"
6841;"Cyathea medullaris";"Cyathea medullaris";;"Sphaeropteris medullaris";"Bernh.";"Accepted";"species"
6842;"Cyathea nigricans";"Cyathea nigricans";"Mett.";"Sphaeropteris nigricans";"(Mett.) R.M.Tryon";"Accepted";"species"
6843;"Cyathea parvula";"Cyathea parvula";"(Jenman) Domin";"Cyathea parvula";"Domin";"Accepted";"species"
6844;"Cyathea ponapeana";"Cyathea ponapeana";"(Hosok.) Glassman";"Sphaeropteris lunulata";"(Forst.) R.M.Tryon";"Accepted";"species"
6847;"Cyathea spp.";"Cyathea";"Sm.";"Cyathea";"Sm.";"Accepted";"genus"
