"NFICode";"NFIName";"originalName";"originalNameAuthorship";"acceptedName";"acceptedNameAuthorship";"family";"genus";"specificEpithet";"taxonRank"
1101;"Cistus ladanifer";"Cistus ladanifer";"L.";"Cistus ladanifer";"L.";"Cistaceae";"Cistus";"ladanifer";"species"
8101;"Cistus laurifolius";"Cistus laurifolius";"L.";"Cistus laurifolius";"L.";"Cistaceae";"Cistus";"laurifolius";"species"
10101;"Cistus libanotis";"Cistus libanotis";"L.";"Cistus libanotis";"L.";"Cistaceae";"Cistus";"libanotis";"species"
5101;"Cistus monspeliensis";"Cistus monspeliensis";"L.";"Cistus monspeliensis";"L.";"Cistaceae";"Cistus";"monspeliensis";"species"
2101;"Cistus populifolius";"Cistus populifolius";"L.";"Cistus populifolius";"L.";"Cistaceae";"Cistus";"populifolius";"species"
2111;"Cistus psilosepalus";"Cistus psilosepalus";"Sweet";"Cistus laxus";"Aiton";"Cistaceae";"Cistus";"laxus";"species"
11101;"Cistus psilosepalus";"Cistus psilosepalus";"Sweet";"Cistus laxus";"Aiton";"Cistaceae";"Cistus";"laxus";"species"
6101;"Cistus salvifolius";"Cistus salvifolius";;"Cistus salviifolius";"L.";"Cistaceae";"Cistus";"salviifolius";"species"
6101;"Cistus salviifolius";"Cistus salviifolius";"L.";"Cistus salviifolius";"L.";"Cistaceae";"Cistus";"salviifolius";"species"
101;"Cistus spp.";"Cistus";;"Cistus";"L.";"Cistaceae";"Cistus";;"genus"
9101;"Cistus symphytifolius";"Cistus symphytifolius";"Lam.";"Cistus symphytifolius";"Lam.";"Cistaceae";"Cistus";"symphytifolius";"species"
1132;"Clematis flammula";"Clematis flammula";"L.";"Clematis flammula";"L.";"Ranunculaceae";"Clematis";"flammula";"species"
132;"Clematis spp.";"Clematis";;"Clematis";"L.";"Ranunculaceae";"Clematis";;"genus"
2132;"Clematis vitalba";"Clematis vitalba";"L.";"Clematis vitalba";"L.";"Ranunculaceae";"Clematis";"vitalba";"species"
7103;"Colutea arborescens";"Colutea arborescens";"L.";"Colutea arborescens";"L.";"Fabaceae";"Colutea";"arborescens";"species"
1172;"Corema album";"Corema album";"(L.) D.Don in Sweet";"Corema album";"(L.) D.Don ex Steud.";"Ericaceae";"Corema";"album";"species"
172;"Corema spp.";"Corema";;"Corema";"D.Don";"Ericaceae";"Corema";;"genus"
139;"Coriaria myrtifolia";"Coriaria myrtifolia";"L.";"Coriaria myrtifolia";"L.";"Coriariaceae";"Coriaria";"myrtifolia";"species"
